City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,kingston,17.997,-76.7936,28.53,70,20,6.69,JM,1714436578
255,mahibadhoo,3.7833,72.9667,28.4,79,100,5.45,MV,1714436606
256,tralee,52.2704,-9.7026,6.63,90,100,1.17,IE,1714436606
257,hadibu,12.65,54.0333,29.3,78,99,3.26,YE,1714436606
258,neunkirchen,49.35,7.1833,11.4,88,0,2.06,DE,1714436421
259,arpacay,40.8487,43.3291,11.8,55,4,0.51,TR,1714436606
260,bambari,5.768,20.6757,23.26,92,100,0.78,CF,1714436606
261,benguela,-12.5763,13.4055,25.66,72,1,1.43,AO,1714436606
262,tingo maria,-9.2895,-76.0088,22.88,97,76,0.96,PE,1714436606
263,sri madhopur,27.4667,75.6,21.08,25,0,2.89,IN,1714436606
264,christchurch,-43.5333,172.6333,21.41,65,0,1.03,NZ,1714436606
265,nizhnesortymskiy,62.4397,71.7603,-13.18,93,45,4.53,RU,1714436607
266,arrifes,37.7667,-25.7,14.14,67,75,2.57,PT,1714436607
267,wakkanai,45.4094,141.6739,10.99,50,75,4.63,JP,1714436607
268,luderitz,-26.6481,15.1594,18.73,55,0,0.41,NA,1714436607
269,merrill,45.1805,-89.6835,12.53,79,100,4.12,US,1714436607
270,kuanda,56.3161,116.0806,5.37,49,100,0.14,RU,1714436607
271,srivardhan,18.0333,73.0167,27.55,71,7,3.14,IN,1714436607
272,cova figueira,14.8905,-24.2934,18.01,79,81,5.92,CV,1714436607
273,yongfeng,27.4283,112.1834,17.46,89,100,5.74,CN,1714436607
274,abu,24.6,72.7,24.16,38,0,1.91,IN,1714436607
275,caibarien,22.5206,-79.4669,26.62,78,27,8.93,CU,1714436607
276,ceres,37.5949,-120.9577,25.39,29,0,7.72,US,1714436607
277,nha trang,12.25,109.1833,30.0,65,73,0.83,VN,1714436608
278,port alfred,-33.5906,26.891,18.46,83,0,2.74,ZA,1714436608
279,lionel town,17.8101,-77.2406,28.94,75,5,3.89,JM,1714436608
280,sorong,-0.8833,131.25,26.25,88,100,1.82,ID,1714436608
